episode,episode_reward,avg_loss,episode_steps,global_step,num_tls,epsilon_end,arrived_vehicles,avg_wait_time,avg_travel_time,avg_stops,avg_queue,decision_cycle_sec,decision_steps,waiting_total,cycle_60_count,cycle_90_count,cycle_120_count,cycle_60_pct,cycle_90_pct,cycle_120_pct,cycle_entropy,phase_name,phase_episode
92,-895.6770695970696,7.584269205729167,21,16074,9,0.66085,3623,199.76897598675131,426.9447971294507,11.8415677615236,1149.3924731182797,60.0,70,46200.0,12,5,4,43.077742279020235,29.552715654952078,27.36954206602769,1.5547478046568095,phase3_baseline,17
93,-1058.8397924297926,7.628675892239525,21,16263,9,0.65686,3856,210.61877593360995,459.75077800829877,12.714211618257261,1549.9677595628416,60.0,70,55585.5,13,4,4,43.31578947368421,29.42105263157895,27.263157894736846,1.5533191727193756,phase3_baseline,18
94,-1239.9018192918195,7.71189649105072,20,16443,9,0.65306,3456,188.07552083333334,386.74508101851853,9.39525462962963,1339.545054945055,90.0,100,127182.25,10,6,4,43.36283185840708,29.463820926600732,27.173347214992194,1.5529550037895115,phase3_baseline,19
95,-769.9210500610501,7.748769092559814,20,16623,9,0.6492600000000001,4224,165.72064393939394,385.09564393939394,10.011126893939394,971.9248648648648,60.0,70,35903.0,11,3,6,43.51184346035015,29.299691040164777,27.188465499485066,1.5521315358146737,phase3_baseline,20
96,-1060.9439255189254,7.66342069989159,21,16812,9,0.64527,4449,212.2906271072151,425.3104068329962,11.018431108114182,1405.2316939890711,60.0,70,46739.0,11,8,2,43.63543788187373,29.378818737270873,26.985743380855396,1.551192682516499,phase3_baseline,21
97,-1011.2994963369963,7.5977538065476855,22,17010,9,0.6410899999999999,3330,200.54774774774774,434.22192192192193,11.547447447447448,903.5869565217391,60.0,70,46345.5,15,4,3,43.93558127830901,29.240060392551587,26.824358329139407,1.5492552991484256,phase3_baseline,22
98,-936.8518284493287,7.8979274988174435,20,17190,9,0.63729,4325,207.3248554913295,419.33410404624277,10.268439306358381,1087.351595744681,90.0,100,54106.75,10,4,6,43.97410358565737,29.183266932270918,26.84262948207171,1.5490506025918909,phase3_baseline,23
99,-903.0648840048841,7.889475266138713,18,17352,9,0.6338699999999999,3852,194.16407061266875,404.88369678089305,9.470664589823468,1045.898924731183,120.0,130,107562.75,5,6,7,43.80858411445486,29.205722742969908,26.985693142575233,1.5501921133589756,phase3_baseline,24
100,-919.953901098901,7.89504976272583,20,17532,9,0.63007,4167,200.03695704343653,426.26061915046796,11.150947924166067,1054.3016483516483,60.0,70,44983.25,12,2,6,43.994140625,29.00390625,27.001953125,1.5491094077522236,phase3_baseline,25
101,-990.9994291819291,7.850037938072568,21,17721,9,0.62608,3813,185.29609231576185,399.9166011014949,10.988198269079465,1062.5907103825136,60.0,70,50102.0,13,4,4,44.20289855072464,28.888888888888886,26.908212560386474,1.5477451349080886,phase3_baseline,26
102,-902.2523229548228,7.774139451980591,20,17901,9,0.6222799999999999,3888,190.70781893004116,404.50797325102883,10.802469135802468,1014.7324324324325,120.0,130,102063.0,10,5,5,44.23720707795313,28.83787661406026,26.924916307986607,1.5475508078208948,phase3_baseline,27
103,-892.3021581196581,7.777818658135154,22,18099,9,0.6181,4605,161.68338762214984,371.3743756786102,9.507491856677525,1007.2447368421052,120.0,130,71715.75,15,2,5,44.46546830652791,28.61873226111637,26.915799432355726,1.5461121869259522,phase3_baseline,28
104,-1105.6760622710624,7.890124300251836,23,18306,9,0.61373,3939,202.51789794364052,430.983244478294,12.04036557501904,1235.0475675675675,60.0,70,41166.5,17,4,2,44.808231992516376,28.484565014031805,26.707202993451823,1.543713282335832,phase3_baseline,29
105,-833.6726404151404,7.726714686343544,19,18477,9,0.61012,3742,189.40459647247462,403.706306787814,10.950293960448958,890.2478947368421,120.0,130,97501.25,6,7,6,44.670991658943464,28.544949026876736,26.7840593141798,1.5446761496367034,phase3_baseline,30
